Date,Open,High,Low,Close,Adj Close,Volume
2022-10-05,39.259998,40.349998,38.740002,39.860001,36.536537,22425000
2022-10-06,40.200001,40.770000,39.849998,40.570000,37.187336,18177800
2022-10-07,40.560001,40.810001,40.110001,40.660000,37.269833,13562000
2022-10-10,41.070000,41.360001,39.799999,40.070000,36.729023,11524600
2022-10-11,39.790001,40.070000,38.849998,39.110001,35.849072,14612900
2022-10-13,38.799999,39.860001,38.070000,39.380001,36.096561,15142400
2022-10-14,39.660000,40.180000,38.680000,39.160000,35.894901,12511400
2022-10-17,39.299999,39.840000,38.860001,39.490002,36.197388,10038600
2022-10-18,39.959999,41.520000,39.759998,39.950001,36.619034,21741600
2022-10-19,41.369999,41.790001,41.000000,41.650002,38.177288,12728500
2022-10-20,41.900002,43.680000,41.700001,43.599998,39.964699,35376600
2022-10-21,43.419998,44.939999,43.169998,44.680000,40.954651,32082800
2022-10-24,43.619999,43.680000,40.200001,40.200001,36.848186,37664600
2022-10-25,40.099998,40.470001,39.169998,39.509998,36.215717,21368200
2022-10-26,39.110001,39.139999,37.180000,38.110001,34.932449,32074200
2022-10-27,38.500000,39.400002,38.320000,38.590000,35.372425,20827100
2022-10-28,38.240002,38.900002,37.950001,38.820000,35.583248,20428000
2022-10-31,36.660000,38.330002,36.009998,37.020000,33.933331,50766800
2022-11-01,37.400002,38.799999,36.900002,37.900002,34.739956,24640300
2022-11-03,39.000000,39.029999,37.200001,38.689999,35.464085,30417900
2022-11-04,38.959999,39.980000,38.810001,39.259998,35.986561,27290400
2022-11-07,38.910000,39.189999,37.619999,37.889999,34.730785,23671200
2022-11-08,37.779999,38.299999,37.320000,38.070000,34.895782,14742300
2022-11-09,37.639999,38.560001,36.919998,37.060001,33.969994,18987500
2022-11-10,37.000000,37.680000,35.669998,36.330002,33.300865,64558100
2022-11-11,36.310001,36.650002,35.360001,35.520000,32.558395,54156800
2022-11-14,36.000000,36.799999,35.650002,36.400002,33.365028,23033900
2022-11-16,35.759998,36.040001,35.070000,35.250000,32.310909,22549600
2022-11-17,35.020000,35.220001,33.639999,34.500000,31.623442,40132700
2022-11-18,34.570000,35.299999,34.099998,34.380001,31.513454,22645200
2022-11-21,34.529999,35.419998,34.209999,35.200001,32.265083,21382900
2022-11-22,34.590000,34.910000,33.820000,34.040001,31.353403,13218800
2022-11-23,33.799999,34.529999,33.509998,34.459999,31.740261,13324500
2022-11-24,34.590000,35.950001,34.349998,35.020000,32.256058,10819700
2022-11-25,35.110001,35.230000,33.919998,34.209999,31.509991,9592300
2022-11-28,34.389999,35.200001,34.099998,34.830002,32.081055,8237300
2022-11-29,35.000000,35.730000,34.590000,35.250000,32.467907,9135200
2022-11-30,35.419998,35.810001,34.700001,35.279999,32.495541,12799000
2022-12-01,35.119999,35.560001,34.720001,35.240002,32.458698,9118400
2022-12-02,35.529999,36.720001,35.110001,36.029999,33.186344,13806400
2022-12-05,35.950001,35.959999,35.020000,35.200001,32.421852,10360600
2022-12-06,35.389999,35.560001,35.090000,35.560001,32.753441,8629400
2022-12-07,35.599998,35.939999,35.480000,35.480000,32.679760,6603300
2022-12-08,35.480000,35.959999,34.810001,35.029999,32.265266,12269100
2022-12-09,35.090000,35.180000,34.590000,34.980000,32.219212,7031900
2022-12-12,34.900002,35.389999,33.209999,33.790001,31.123135,26554200
2022-12-13,33.810001,33.950001,31.860001,31.860001,29.648638,21854900
2022-12-14,31.500000,31.570000,30.250000,31.070000,28.913471,40011200
2022-12-15,30.719999,32.529999,30.510000,31.950001,29.732391,47466100
2022-12-16,32.000000,32.759998,31.780001,32.599998,30.337275,21848400
2022-12-19,32.709999,33.450001,32.509998,32.950001,30.662983,15579000
2022-12-20,32.939999,34.160000,32.630001,33.799999,31.453985,13249000
2022-12-21,34.099998,34.459999,33.750000,34.119999,31.751772,8747500
2022-12-22,34.320000,34.840000,33.910000,34.430000,32.040257,7398300
2022-12-23,34.529999,35.639999,34.529999,35.279999,32.831261,8744400
2022-12-26,35.570000,35.570000,34.740002,35.230000,32.784733,4552700
2022-12-27,35.450001,35.450001,33.900002,34.060001,31.695942,8865800
2022-12-28,34.099998,34.799999,33.619999,34.669998,32.263596,10725200
2022-12-29,34.830002,35.040001,34.400002,34.730000,32.319431,9336500
2023-01-02,34.220001,34.220001,32.900002,33.259998,30.951460,11778500
2023-01-03,33.259998,33.400002,32.419998,32.639999,30.374498,10773700
2023-01-04,32.830002,33.259998,32.560001,33.060001,30.765350,9759500
2023-01-05,33.290001,34.740002,33.080002,34.570000,32.170544,16968800
2023-01-06,34.650002,35.270000,34.439999,35.049999,32.617222,14752300
2023-01-09,34.730000,35.049999,34.480000,34.709999,32.300819,10013600
2023-01-10,34.500000,35.480000,34.330002,35.299999,32.849869,9654800
2023-01-11,35.299999,35.849998,35.060001,35.799999,33.315166,14542400
2023-01-12,35.570000,35.869999,35.009998,35.570000,33.101131,10086600
2023-01-13,35.500000,35.849998,34.950001,35.650002,33.175583,10043500
2023-01-16,35.660000,36.119999,35.320000,35.610001,33.138355,9218900
2023-01-17,35.790001,37.700001,35.540001,37.700001,35.083294,26060500
2023-01-18,38.049999,38.869999,37.889999,38.240002,35.585808,23234600
2023-01-19,38.000000,39.320000,37.549999,39.110001,36.395424,23412100
2023-01-20,39.209999,40.299999,39.110001,40.070000,37.288792,30711200
2023-01-23,40.070000,41.250000,39.130001,39.770000,37.009609,29114500
2023-01-24,39.770000,40.389999,39.279999,39.570000,36.823498,16577900
2023-01-25,39.410000,40.990002,38.869999,40.650002,37.828541,15233000
2023-01-26,40.779999,41.480000,40.570000,40.630001,37.809925,13150700
2023-01-27,40.919998,40.959999,39.689999,40.180000,37.391155,12428300
2023-01-30,40.400002,40.910000,40.060001,40.810001,37.977432,14247900
2023-01-31,40.950001,41.200001,40.419998,40.700001,37.875065,14784600
2023-02-01,40.750000,41.049999,39.849998,40.209999,37.419075,13155700
2023-02-02,40.009998,41.150002,39.250000,39.450001,36.711823,18524300
2023-02-03,39.650002,39.939999,38.900002,39.200001,36.479183,12167400
2023-02-06,39.070000,39.720001,38.619999,39.419998,36.683910,13656900
2023-02-07,39.590000,39.680000,38.459999,38.880001,36.181385,12441900
2023-02-08,39.169998,39.950001,38.910000,39.799999,37.037533,22242800
2023-02-09,39.930000,40.070000,39.130001,39.590000,36.842110,10654600
2023-02-10,39.349998,40.610001,38.939999,40.369999,37.567974,14915700
2023-02-13,40.730000,41.139999,40.029999,40.599998,37.782001,16244800
2023-02-14,42.279999,42.750000,41.250000,41.549999,38.666069,59231000
2023-02-15,41.779999,42.180000,41.180000,41.930000,39.019695,24571900
2023-02-16,41.650002,42.590000,41.369999,42.400002,39.457073,21507400
2023-02-17,42.349998,43.130001,41.980000,42.820000,39.847916,22363700
2023-02-22,42.799999,42.810001,41.660000,41.759998,38.861488,11164100
2023-02-23,41.900002,42.599998,41.680000,42.099998,39.177895,24147100
2023-02-24,41.360001,41.529999,40.240002,40.480000,38.425034,12275400
2023-02-27,40.490002,40.740002,39.720001,39.930000,37.902954,11236200
2023-02-28,40.139999,40.790001,39.900002,40.299999,38.254173,16665100
2023-03-01,40.299999,40.299999,38.369999,39.000000,37.020168,27264800
2023-03-02,39.000000,39.080002,37.369999,37.430000,35.529865,17489300
2023-03-03,37.700001,38.320000,37.330002,37.849998,35.928547,16858900
2023-03-06,37.869999,39.009998,37.869999,38.709999,36.744892,10232600
2023-03-07,39.000000,39.779999,38.500000,39.599998,37.589703,19313500
2023-03-08,39.700001,40.380001,39.570000,40.000000,37.969402,13021300
2023-03-09,39.930000,40.189999,39.130001,39.130001,37.143566,12388700
2023-03-10,39.000000,39.060001,38.020000,38.389999,36.441135,12892900
2023-03-13,38.130001,38.570000,37.790001,38.150002,36.213318,9140200
2023-03-14,37.919998,38.139999,37.230000,37.509998,35.937424,11087400
2023-03-15,36.840000,37.790001,36.750000,37.549999,35.975750,11569500
2023-03-16,37.669998,38.160000,37.299999,37.950001,36.358982,12777800
2023-03-17,37.599998,38.119999,37.299999,37.299999,35.736229,21046700
2023-03-20,37.310001,38.080002,36.700001,37.090000,35.535034,10493700
2023-03-21,37.310001,37.770000,37.279999,37.529999,35.956585,8919400
2023-03-22,37.540001,38.250000,37.400002,37.619999,36.042812,11859200
2023-03-23,37.720001,38.139999,36.779999,37.209999,35.650005,11420400
2023-03-24,37.330002,37.930000,37.049999,37.590000,36.014072,7940300
2023-03-27,37.980000,38.150002,37.430000,37.610001,36.033237,6914400
2023-03-28,37.610001,38.080002,37.509998,37.869999,36.282330,7944700
2023-03-29,38.040001,38.430000,37.650002,38.310001,36.703888,7197800
2023-03-30,38.950001,39.189999,38.400002,39.009998,37.374542,13147600
2023-03-31,39.160000,39.520000,38.570000,39.110001,37.470348,8450100
2023-04-03,39.209999,39.279999,38.209999,38.650002,37.029633,8960300
2023-04-04,38.900002,39.480000,38.730000,39.290001,37.642799,8235800
2023-04-05,39.349998,39.680000,38.830002,39.150002,37.508675,7766200
2023-04-06,39.240002,39.340000,38.849998,39.020000,37.384125,6680900
